工号,姓名,级别,本期绩效,本期绩效评价
A0978,孙QD,2-1,C,（评价183）
A0868,付LB,2-2,C,（评价164）
A0206,胡GJ,2-1,D,（评价39）
A0326,陈WH,1-9,A,（评价63）
A0556,章NU,1-6,D,（评价108）
A0607,胡IF,1-8,B,（评价116）
A0634,胡CU,1-8,C,（评价121）
A0712,牛LB,2-3,C,（评价134）
A1053,吕FQ,3-3,B,（评价194）
A0113,胡JB,2-4,C,（评价22）
A0888,牛LF,3-1,C,（评价170）
A0561,龙ON,1-6,D,（评价109）
A0005,胡KF,1-6,B,（评价1）
A0423,吕JC,3-2,S,（评价82）
A0457,鲁EO,3-3,B,（评价88）
A0471,王JN,2-5,B,（评价91）
A0214,鲁NN,1-7,D,（评价42）
